country,year,crisis_bin,crisis_h1,crisis_h2,crisis_h3,z1,z2,z3,z4
Australia,1942,0,0,0,0,0.0012366873664929284,-0.0011510748128718802,-0.0044233934179353325,-0.005213033023170587
Australia,1943,0,0,0,0,-0.0038744094200024084,-0.0016536595689083926,-0.011836889803261858,-0.0003850658672576576
Australia,1944,0,0,0,0,-0.008801179364598821,0.019038816588211598,-0.00024702269093378854,-0.0031761585002499527
Australia,1949,0,0,0,0,0.009337002937080167,-0.0014876532650028966,0.020685364455263092,0.03033062504159825
Australia,1950,0,0,0,0,-0.01004645106921856,0.012337960533153988,-0.0036649195553403366,0.0032297162818753933
Australia,1951,0,0,0,0,0.00913149108231394,0.011479679044808538,0.03982093103540119,-0.015418973446000381
Australia,1952,0,0,0,0,0.007874386148863557,0.0010873654532906315,0.010844359208991254,-0.00591286125889044
Australia,1953,0,0,0,0,0.007348504086956727,0.009146985203019231,-0.0020930867601711453,0.004313454676093039
Australia,1954,0,0,0,0,0.0032178533834632235,-0.0026948620876967623,0.0014485793983270833,0.0022524205566740343
Australia,1955,0,0,0,0,-0.001302273732690669,0.004229280094418267,0.00023652652684887383,-0.0032030590208429214
Australia,1956,0,0,0,0,0.004743373959658672,0.003972366531284207,0.010762864763285683,0.01004704444689191
Australia,1957,0,0,0,0,-0.0009232760442796066,0.0024144210333116823,-0.0035533971354857244,-0.0020229309502598804
Australia,1958,0,0,0,0,0.005795247968890735,-0.000968824785095748,0.009739123313825322,-0.002210255102168268
Australia,1959,0,0,0,0,0.0009706644595807664,-0.001881460719575784,0.006337194895010093,-0.0104132069911111
Australia,1960,0,0,0,0,-0.0009469206839214891,-0.004500622157056941,0.010948151839410905,0.0103430794930982
Australia,1961,0,0,0,0,0.0022923998606395896,-0.004948086027544403,-0.009403251048720796,-0.005782696049571643
Australia,1962,0,0,0,0,0.0043045584225961135,0.00027530324267716847,0.0028019377088635633,0.005707648618963846
Australia,1963,0,0,0,0,0.00434546527674406,0.0017711857730671925,-0.005107238851653267,0.009383048893304147
Australia,1964,0,0,0,0,-0.00025671626673185594,0.006747930817409832,0.008207053268141655,0.008338360113093187
Australia,1965,0,0,0,0,0.0004997717333887052,0.004745923562227594,0.0005761197405958114,-0.009392259729985183
Australia,1966,0,0,0,0,0.002354520369545125,-0.005219186043226229,0.0032543004506162656,-0.006995353784866755
Australia,1967,0,0,0,0,-0.0017238802809148848,0.0027742743174889303,0.0008173949348609683,0.002362006219391757
Australia,1968,0,0,0,0,-0.0015578055632014653,0.011868181998186577,0.012413005491380644,-0.002944660722988622
Australia,1969,0,0,0,0,0.0072146709104950486,-0.003744898872078517,-0.0006354892701292925,-0.005059024282723473
Australia,1970,0,0,0,0,0.0014051104345657532,-0.0015432319147744558,0.003211260835585183,-0.0024041121099598432
Australia,1971,0,0,0,0,-0.004765131792591016,0.009784058260097346,-0.007303442321844554,0.004520039960679956
Australia,1972,0,0,0,0,0.0005864835115074552,0.0016666622176330407,0.0017330549466251944,0.0018545405315392822
Australia,1973,0,0,0,0,-0.006682127674046429,0.013022673767114508,-0.0033162114905547235,0.004703923485346859
Australia,1974,0,0,0,0,-0.0022668345431930657,0.010513425295533174,0.011814373110154732,0.007566873239591029
Australia,1975,0,0,0,0,-0.0006383862080621297,0.0031927298763006285,0.00631861908128971,0.0006191325322437123
Australia,1976,0,0,0,0,0.015634534497463715,0.0009758612989563742,0.00011363238211079826,-0.0019093393082315092
Australia,1977,0,0,0,0,-0.001816879351712027,0.007852348240504346,-0.003102343494757767,0.0077785748266214
Australia,1978,0,0,0,0,0.005710060792165859,-0.006203712717827162,-0.0003468664943150347,0.0043625595699138126
Australia,1979,0,0,0,0,-0.0007308758235073252,0.002494507122021596,0.0005447850871601177,0.002236002460461915
Australia,1980,0,0,0,0,0.00036598659180333355,-0.0029650018308838705,0.004771529905358137,-0.007765258405540989
Australia,1981,0,0,0,0,0.0050500995423858105,-0.006691838027624781,-0.004541130171248406,-0.004709264499873494
Australia,1982,0,0,0,0,-0.0001341257198135973,0.0020513012591222854,0.0009086579187985229,0.0017846313187677141
Australia,1983,0,0,0,0,0.0043892729317282575,-0.004546430166281099,0.003925628838666339,-0.0013591523221698591
Australia,1984,0,0,0,0,0.0017437966176052971,-0.006377863467492896,0.010932511955022402,-0.0015097810086704333
Australia,1985,0,0,0,0,-0.0005924542168227377,0.0016516219203958973,-0.001996811302176883,0.002073999061615575
