year,country,iso,crisis_bin,crisis_lv,crisisJST,crisis_union,crisis_h1,crisis_h2,crisis_h3,tloans,tmort,lev,ltd,noncore,hpnom,housing_capgain,eq_capgain,stir,ltrate,bill_rate,gdp,iy,ca,cpi,debtgdp,money,bond_rate,housing_tr,eq_tr,tloans_gap,hpnom_gap,term_spread,tloans_growth
2008,Australia,AUS,0,0,0.0,0,0,0,0,1561969.96,775210.0,4.044531358688147,118.35212707519531,42.42196331727514,313.5452751589564,0.043702732771635056,-0.4301043450832367,6.67166666666667,5.81794393964159,0.06671666353940964,1177310.0,0.2827868885624922,-55780.94780000001,159.68854112359548,0.11753000000000001,1145669.7584647199,0.05817943811416626,0.06563559174537659,-0.4038478434085846,120895.05883810902,10.0112710626247,-0.8537227270250805,0.15523846484966652
2009,Australia,AUS,0,0,0.0,0,0,0,0,1686967.5,901540.0,4.655062152576556,120.7187728881836,44.85163828870131,324.32339399254545,0.034374650567770004,0.33432623744010925,3.2781746031746,5.03951184202271,0.03278174623847008,1260140.0,0.2732171709171551,-58747.726800000004,162.515271835206,0.16654,1191375.4291331498,0.050395119935274124,0.056797560304403305,0.3957807421684265,112440.39624575176,2.6449387973293597,1.7613372388481103,0.08002557232278651
2010,Australia,AUS,0,0,0.0,0,0,0,0,1748002.81,995049.0,4.573344318073472,118.05595397949219,42.237601292904536,363.51655338741494,0.12084866315126419,-0.0073320092633366585,4.34604166666667,5.36604166666667,0.0434604175388813,1301210.0,0.263582320255812,-47533.2013,167.16850546816477,0.20395,1313270.69386156,0.05366041511297226,0.1434662938117981,0.03306250274181366,37314.81942442665,23.578151569040642,1.0200000000000005,0.03618048954707187
2011,Australia,AUS,0,0,0.0,0,0,0,0,1845646.69,1065010.0,4.645921483898625,116.09456634521484,40.78293210842256,354.11019513264625,-0.02587774395942688,-0.15182900428771973,4.69270833333333,4.87958333333334,0.046927083283662796,1416620.0,0.26443001197307897,-43589.3974,172.77847872659174,0.24069,1416981.4087479399,0.04879583418369293,-0.0047634057700634,-0.11430837959051132,-3428.6438693131786,-4.1758516592643105,0.18687500000000945,0.055860253451194275
2012,Australia,AUS,0,0,0.0,0,0,0,0,1932023.9399999997,1136656.0,4.696454157850521,111.92512512207031,40.29358611465479,351.3666739750055,-0.007746180519461632,0.13466309010982513,3.69666666666667,3.37916666666667,0.03696666657924652,1499460.0,0.2824034442406454,-64416.801600000006,175.69218576779022,0.27536,1516300.58263611,0.033791664987802505,0.01436653733253479,0.18840819597244263,-57276.25292747468,-25.385864345846187,-0.3174999999999999,0.04680053363842873
2013,Australia,AUS,0,0,0.0,0,0,0,0,2110197.0,1213806.0000000002,4.611229392130787,110.67452239990234,39.86604835522664,374.64580604055834,0.06625211238861084,0.14760108292102814,2.7375,3.69666666666667,0.027374999597668648,1536310.0,0.27238507459832284,-51973.3673,180.04100224719096,0.30497,1620778.0,0.03696666657924652,0.08900255709886551,0.19655711948871613,-20768.05543239042,-20.71277894051792,0.95916666666667,0.09222093800763176
2014,Australia,AUS,0,0,0.0,0,0,0,0,2298228.4000000004,1309261.3,4.6413072782924285,110.63754272460938,40.113179487212356,408.50202632484195,0.09052827209234238,0.01102391630411148,2.5,3.65541666666667,0.02500000037252903,1598530.0,0.2644803824571583,-49074.871,184.52028322097374,0.34027,1736405.0,0.03655416518449783,0.1123388409614563,0.05609947443008423,24699.181565924082,-5.559404362756652,1.15541666666667,0.0891060881993484
2015,Australia,AUS,0,0,0.0,0,0,0,0,2504150.4000000004,1409386.1,5.2477068597075895,113.06571197509766,42.683181060298864,445.47658268794106,0.09026888757944107,-0.021253002807497978,2.10916666666667,2.71020833333333,0.02109166607260704,1624600.0,0.25833718388591054,-75024.028,187.26003760299622,0.37699,1838907.0,0.02710208296775818,0.11045312881469727,0.025605125352740288,87750.3411560338,12.710045279859571,0.60104166666666,0.08960031996819806
2016,Australia,AUS,0,0,0.0,0,0,0,0,2667510.0,1516309.5999999996,5.360131595190229,113.24504852294922,43.427020375066625,469.97779473577776,0.055001020431518555,0.07249999791383743,1.7325,2.33354166666667,0.019867,1660710.0,0.24536267930424308,-54421.4667,189.65188666666663,0.40508000000000005,1961535.0,0.023373035714030266,0.07365334033966064,0.1193000003695488,108463.29847258795,18.612326136496733,0.6010416666666702,0.06523553856829034
2017,Australia,AUS,0,0,0.0,0,0,0,0,2764799.7,1600576.2000000002,5.811115289644978,113.82003389474886,41.58573559304941,509.17973401231654,0.08348798751831055,0.07729999721050262,1.74,2.63916666666667,0.0174,1763630.0,0.2421087492323848,-45554.562900000004,193.43535700374525,0.41074,2049360.9999999998,-0.03531626611948013,0.1012798622250557,0.12319999933242798,63642.05279734684,39.39817118116349,0.8991666666666702,0.036472103197363825
